"Cycle","App","Path","Kind","Direct","Refresh","Client","Pass"
"1","admin-web","/login","valid","200","200","200","True"
"1","admin-web","/courses","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/manage","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/manage/modules/audit-module","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/manage","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/quiz","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/modules/audit-module/lessons","valid","200","200","200","True"
"1","admin-web","/courses/audit-course/modules/audit-module/lessons/audit-lesson/resources","valid","200","200","200","True"
"1","admin-web","/branches/audit-branch/manage","valid","200","200","200","True"
"1","admin-web","/batches/audit-batch/manage","valid","200","200","200","True"
"1","admin-web","/batches/audit-batch/timings/audit-timing/manage","valid","200","200","200","True"
"1","admin-web","/batches/audit-batch/modes/offline/manage","valid","200","200","200","True"
"1","admin-web","/students/audit-student/manage","valid","200","200","200","True"
"1","admin-web","/enrollments/audit-enrollment/manage","valid","200","200","200","True"
"1","admin-web","/community/audit-post/manage","valid","200","200","200","True"
"1","admin-web","/this-route-does-not-exist-xyz","invalid","404","404","-","True"
"1","admin-web","/courses/audit-course/manage/modules/m1/DOES-NOT-EXIST","invalid","200","soft404","-","True"
"1","admin-web","/courses/audit-course/modules/m1/lessons/l1/nope","invalid","200","soft404","-","True"
"1","admin-web","/batches/audit-batch/modes/offline/manage/extra","invalid","404","404","-","True"
"1","customer-web","/","valid","200","200","200","True"
"1","customer-web","/courses","valid","200","200","200","True"
"1","customer-web","/courses/junior-accountant","valid","200","200","200","True"
"1","customer-web","/courses/junior-accountant/enroll","valid","200","200","200","True"
"1","customer-web","/jobs","valid","200","200","200","True"
"1","customer-web","/jobs/junior-accountant","valid","200","200","200","True"
"1","customer-web","/jobs/junior-accountant/apply","valid","200","200","200","True"
"1","customer-web","/jobs/junior-accountant/apply/success","valid","200","200","200","True"
"1","customer-web","/branches/malleshwaram","valid","200","200","200","True"
"1","customer-web","/onboarding/job","valid","200","200","200","True"
"1","customer-web","/student/jobs","valid","200","200","200","True"
"1","customer-web","/student/jobs/audit-job","valid","200","200","200","True"
"1","customer-web","/student/jobs/audit-job/apply","valid","200","200","200","True"
"1","customer-web","/student/enrollments","valid","200","200","200","True"
"1","customer-web","/student/my-learning","valid","200","200","200","True"
"1","customer-web","/totally-missing-page","invalid","404","404","-","True"
"1","customer-web","/jobs/junior-accountant/apply/nope","invalid","200","soft404","-","True"
"1","customer-web","/courses/junior-accountant/enroll/extra","invalid","200","soft404","-","True"
"1","customer-web","/branches/malleshwaram/extra-segment","invalid","404","404","-","True"
"2","admin-web","/login","valid","200","200","200","True"
"2","admin-web","/courses","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/manage","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/manage/modules/audit-module","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/manage","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/quiz","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/modules/audit-module/lessons","valid","200","200","200","True"
"2","admin-web","/courses/audit-course/modules/audit-module/lessons/audit-lesson/resources","valid","200","200","200","True"
"2","admin-web","/branches/audit-branch/manage","valid","200","200","200","True"
"2","admin-web","/batches/audit-batch/manage","valid","200","200","200","True"
"2","admin-web","/batches/audit-batch/timings/audit-timing/manage","valid","200","200","200","True"
"2","admin-web","/batches/audit-batch/modes/offline/manage","valid","200","200","200","True"
"2","admin-web","/students/audit-student/manage","valid","200","200","200","True"
"2","admin-web","/enrollments/audit-enrollment/manage","valid","200","200","200","True"
"2","admin-web","/community/audit-post/manage","valid","200","200","200","True"
"2","admin-web","/this-route-does-not-exist-xyz","invalid","404","404","-","True"
"2","admin-web","/courses/audit-course/manage/modules/m1/DOES-NOT-EXIST","invalid","200","soft404","-","True"
"2","admin-web","/courses/audit-course/modules/m1/lessons/l1/nope","invalid","200","soft404","-","True"
"2","admin-web","/batches/audit-batch/modes/offline/manage/extra","invalid","404","404","-","True"
"2","customer-web","/","valid","200","200","200","True"
"2","customer-web","/courses","valid","200","200","200","True"
"2","customer-web","/courses/junior-accountant","valid","200","200","200","True"
"2","customer-web","/courses/junior-accountant/enroll","valid","200","200","200","True"
"2","customer-web","/jobs","valid","200","200","200","True"
"2","customer-web","/jobs/junior-accountant","valid","200","200","200","True"
"2","customer-web","/jobs/junior-accountant/apply","valid","200","200","200","True"
"2","customer-web","/jobs/junior-accountant/apply/success","valid","200","200","200","True"
"2","customer-web","/branches/malleshwaram","valid","200","200","200","True"
"2","customer-web","/onboarding/job","valid","200","200","200","True"
"2","customer-web","/student/jobs","valid","200","200","200","True"
"2","customer-web","/student/jobs/audit-job","valid","200","200","200","True"
"2","customer-web","/student/jobs/audit-job/apply","valid","200","200","200","True"
"2","customer-web","/student/enrollments","valid","200","200","200","True"
"2","customer-web","/student/my-learning","valid","200","200","200","True"
"2","customer-web","/totally-missing-page","invalid","404","404","-","True"
"2","customer-web","/jobs/junior-accountant/apply/nope","invalid","200","soft404","-","True"
"2","customer-web","/courses/junior-accountant/enroll/extra","invalid","200","soft404","-","True"
"2","customer-web","/branches/malleshwaram/extra-segment","invalid","404","404","-","True"
"3","admin-web","/login","valid","200","200","200","True"
"3","admin-web","/courses","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/manage","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/manage/modules/audit-module","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/manage","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/manage/modules/audit-module/lessons/audit-lesson/quiz","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/modules/audit-module/lessons","valid","200","200","200","True"
"3","admin-web","/courses/audit-course/modules/audit-module/lessons/audit-lesson/resources","valid","200","200","200","True"
"3","admin-web","/branches/audit-branch/manage","valid","200","200","200","True"
"3","admin-web","/batches/audit-batch/manage","valid","200","200","200","True"
"3","admin-web","/batches/audit-batch/timings/audit-timing/manage","valid","200","200","200","True"
"3","admin-web","/batches/audit-batch/modes/offline/manage","valid","200","200","200","True"
"3","admin-web","/students/audit-student/manage","valid","200","200","200","True"
"3","admin-web","/enrollments/audit-enrollment/manage","valid","200","200","200","True"
"3","admin-web","/community/audit-post/manage","valid","200","200","200","True"
"3","admin-web","/this-route-does-not-exist-xyz","invalid","404","404","-","True"
"3","admin-web","/courses/audit-course/manage/modules/m1/DOES-NOT-EXIST","invalid","200","soft404","-","True"
"3","admin-web","/courses/audit-course/modules/m1/lessons/l1/nope","invalid","200","soft404","-","True"
"3","admin-web","/batches/audit-batch/modes/offline/manage/extra","invalid","404","404","-","True"
"3","customer-web","/","valid","200","200","200","True"
"3","customer-web","/courses","valid","200","200","200","True"
"3","customer-web","/courses/junior-accountant","valid","200","200","200","True"
"3","customer-web","/courses/junior-accountant/enroll","valid","200","200","200","True"
"3","customer-web","/jobs","valid","200","200","200","True"
"3","customer-web","/jobs/junior-accountant","valid","200","200","200","True"
"3","customer-web","/jobs/junior-accountant/apply","valid","200","200","200","True"
"3","customer-web","/jobs/junior-accountant/apply/success","valid","200","200","200","True"
"3","customer-web","/branches/malleshwaram","valid","200","200","200","True"
"3","customer-web","/onboarding/job","valid","200","200","200","True"
"3","customer-web","/student/jobs","valid","200","200","200","True"
"3","customer-web","/student/jobs/audit-job","valid","200","200","200","True"
"3","customer-web","/student/jobs/audit-job/apply","valid","200","200","200","True"
"3","customer-web","/student/enrollments","valid","200","200","200","True"
"3","customer-web","/student/my-learning","valid","200","200","200","True"
"3","customer-web","/totally-missing-page","invalid","404","404","-","True"
"3","customer-web","/jobs/junior-accountant/apply/nope","invalid","200","soft404","-","True"
"3","customer-web","/courses/junior-accountant/enroll/extra","invalid","200","soft404","-","True"
"3","customer-web","/branches/malleshwaram/extra-segment","invalid","404","404","-","True"
